,block,trial,audio,S1,S2,S3,repetition_found
0,1,1,"['rakken.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'dingep.wav', 'barget.wav']",Picture6.png,Picture1.png,Picture8.png,0
1,1,2,"['dingep.wav', 'chelad.wav', 'pakrid.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']",Picture8.png,Picture5.png,Picture9.png,0
2,1,3,"['pakrid.wav', 'chelad.wav', 'dingep.wav', 'sumbark.wav', 'fisslin.wav', 'barget.wav']",Picture5.png,Picture8.png,Picture10.png,0
3,1,3,"['pakrid.wav', 'chelad.wav', 'dingep.wav', 'sumbark.wav', 'fisslin.wav', 'barget.wav']",Picture5.png,Picture8.png,Picture10.png,1
4,1,4,"['rakken.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'pakrid.wav', 'barget.wav']",Picture6.png,Picture9.png,Picture5.png,0
5,1,5,"['haagle.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'nellby.wav', 'barget.wav']",Picture4.png,Picture10.png,Picture1.png,0
6,1,6,"['dingep.wav', 'chelad.wav', 'haagle.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']",Picture8.png,Picture4.png,Picture9.png,0
7,1,7,"['limeber.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'dingep.wav', 'barget.wav']",Picture7.png,Picture9.png,Picture8.png,0
8,1,8,"['rakken.wav', 'chelad.wav', 'limeber.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']",Picture6.png,Picture7.png,Picture9.png,1
9,1,9,"['jeelow.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']",Picture2.png,Picture1.png,Picture9.png,0
10,1,10,"['rakken.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'goorshell.wav', 'barget.wav']",Picture6.png,Picture9.png,Picture3.png,0
11,1,11,"['bimdah.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'pakrid.wav', 'barget.wav']",Picture9.png,Picture1.png,Picture5.png,0
12,1,11,"['bimdah.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'pakrid.wav', 'barget.wav']",Picture9.png,Picture1.png,Picture5.png,1
13,1,12,"['pakrid.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'jeelow.wav', 'barget.wav']",Picture5.png,Picture9.png,Picture2.png,0
14,1,13,"['bimdah.wav', 'chelad.wav', 'dingep.wav', 'sumbark.wav', 'jeelow.wav', 'barget.wav']",Picture9.png,Picture8.png,Picture2.png,0
15,1,14,"['goorshell.wav', 'chelad.wav', 'rakken.wav', 'sumbark.wav', 'jeelow.wav', 'barget.wav']",Picture3.png,Picture6.png,Picture2.png,0
16,1,15,"['bimdah.wav', 'chelad.wav', 'haagle.wav', 'sumbark.wav', 'fisslin.wav', 'barget.wav']",Picture9.png,Picture4.png,Picture10.png,0
17,1,16,"['goorshell.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']",Picture3.png,Picture10.png,Picture9.png,0
