,block,trial,audio,S1,S2,S3,repetition_found
0,1,1,"['dingep.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'rakken.wav', 'barget.wav']",Picture1.png,Picture3.png,Picture8.png,0
1,1,2,"['bimdah.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'fisslin.wav', 'barget.wav']",Picture2.png,Picture5.png,Picture3.png,0
2,1,3,"['fisslin.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'haagle.wav', 'barget.wav']",Picture3.png,Picture2.png,Picture10.png,1
3,1,3,"['fisslin.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'haagle.wav', 'barget.wav']",Picture3.png,Picture2.png,Picture10.png,1
4,1,4,"['pakrid.wav', 'chelad.wav', 'goorshell.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']",Picture4.png,Picture6.png,Picture2.png,0
5,1,5,"['nellby.wav', 'chelad.wav', 'jeelow.wav', 'sumbark.wav', 'dingep.wav', 'barget.wav']",Picture5.png,Picture7.png,Picture1.png,0
6,1,6,"['goorshell.wav', 'chelad.wav', 'limeber.wav', 'sumbark.wav', 'pakrid.wav', 'barget.wav']",Picture6.png,Picture9.png,Picture4.png,0
7,1,7,"['jeelow.wav', 'chelad.wav', 'rakken.wav', 'sumbark.wav', 'limeber.wav', 'barget.wav']",Picture7.png,Picture8.png,Picture9.png,0
8,1,8,"['rakken.wav', 'chelad.wav', 'dingep.wav', 'sumbark.wav', 'jeelow.wav', 'barget.wav']",Picture8.png,Picture1.png,Picture7.png,0
9,1,9,"['limeber.wav', 'chelad.wav', 'haagle.wav', 'sumbark.wav', 'goorshell.wav', 'barget.wav']",Picture9.png,Picture10.png,Picture6.png,0
10,1,10,"['haagle.wav', 'chelad.wav', 'pakrid.wav', 'sumbark.wav', 'nellby.wav', 'barget.wav']",Picture10.png,Picture4.png,Picture5.png,0
11,1,11,"['dingep.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'limeber.wav', 'barget.wav']",Picture1.png,Picture3.png,Picture9.png,0
12,1,11,"['dingep.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'limeber.wav', 'barget.wav']",Picture1.png,Picture3.png,Picture9.png,1
13,1,12,"['bimdah.wav', 'chelad.wav', 'limeber.wav', 'sumbark.wav', 'haagle.wav', 'barget.wav']",Picture2.png,Picture9.png,Picture10.png,0
14,1,13,"['fisslin.wav', 'chelad.wav', 'pakrid.wav', 'sumbark.wav', 'goorshell.wav', 'barget.wav']",Picture3.png,Picture4.png,Picture6.png,0
15,1,14,"['pakrid.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'dingep.wav', 'barget.wav']",Picture4.png,Picture5.png,Picture1.png,0
