trial,item1,item2,item3,casemarker1,casemarker2,casemarker3,final,condition,audio_sequence,image_sequence
1,rakken,nellby,dingep,chelad,sumbark,barget,rakken chelad nellby sumbark dingep barget,correlated,"['rakken.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'dingep.wav', 'barget.wav']","['Picture6.png', 'Picture1.png', 'Picture8.png']"
2,dingep,pakrid,bimdah,chelad,sumbark,barget,dingep chelad pakrid sumbark bimdah barget,correlated,"['dingep.wav', 'chelad.wav', 'pakrid.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']","['Picture8.png', 'Picture5.png', 'Picture9.png']"
3,pakrid,dingep,fisslin,chelad,sumbark,barget,pakrid chelad dingep sumbark fisslin barget,correlated,"['pakrid.wav', 'chelad.wav', 'dingep.wav', 'sumbark.wav', 'fisslin.wav', 'barget.wav']","['Picture5.png', 'Picture8.png', 'Picture10.png']"
4,rakken,bimdah,pakrid,chelad,sumbark,barget,rakken chelad bimdah sumbark pakrid barget,correlated,"['rakken.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'pakrid.wav', 'barget.wav']","['Picture6.png', 'Picture9.png', 'Picture5.png']"
5,haagle,fisslin,nellby,chelad,sumbark,barget,haagle chelad fisslin sumbark nellby barget,correlated,"['haagle.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'nellby.wav', 'barget.wav']","['Picture4.png', 'Picture10.png', 'Picture1.png']"
6,dingep,haagle,bimdah,chelad,sumbark,barget,dingep chelad haagle sumbark bimdah barget,correlated,"['dingep.wav', 'chelad.wav', 'haagle.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']","['Picture8.png', 'Picture4.png', 'Picture9.png']"
7,limeber,bimdah,dingep,chelad,sumbark,barget,limeber chelad bimdah sumbark dingep barget,correlated,"['limeber.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'dingep.wav', 'barget.wav']","['Picture7.png', 'Picture9.png', 'Picture8.png']"
8,rakken,limeber,bimdah,chelad,sumbark,barget,rakken chelad limeber sumbark bimdah barget,correlated,"['rakken.wav', 'chelad.wav', 'limeber.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']","['Picture6.png', 'Picture7.png', 'Picture9.png']"
9,jeelow,nellby,bimdah,chelad,sumbark,barget,jeelow chelad nellby sumbark bimdah barget,correlated,"['jeelow.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']","['Picture2.png', 'Picture1.png', 'Picture9.png']"
10,rakken,bimdah,goorshell,chelad,sumbark,barget,rakken chelad bimdah sumbark goorshell barget,correlated,"['rakken.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'goorshell.wav', 'barget.wav']","['Picture6.png', 'Picture9.png', 'Picture3.png']"
11,bimdah,nellby,pakrid,chelad,sumbark,barget,bimdah chelad nellby sumbark pakrid barget,correlated,"['bimdah.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'pakrid.wav', 'barget.wav']","['Picture9.png', 'Picture1.png', 'Picture5.png']"
12,pakrid,bimdah,jeelow,chelad,sumbark,barget,pakrid chelad bimdah sumbark jeelow barget,correlated,"['pakrid.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'jeelow.wav', 'barget.wav']","['Picture5.png', 'Picture9.png', 'Picture2.png']"
13,bimdah,dingep,jeelow,chelad,sumbark,barget,bimdah chelad dingep sumbark jeelow barget,correlated,"['bimdah.wav', 'chelad.wav', 'dingep.wav', 'sumbark.wav', 'jeelow.wav', 'barget.wav']","['Picture9.png', 'Picture8.png', 'Picture2.png']"
14,goorshell,rakken,jeelow,chelad,sumbark,barget,goorshell chelad rakken sumbark jeelow barget,correlated,"['goorshell.wav', 'chelad.wav', 'rakken.wav', 'sumbark.wav', 'jeelow.wav', 'barget.wav']","['Picture3.png', 'Picture6.png', 'Picture2.png']"
15,bimdah,haagle,fisslin,chelad,sumbark,barget,bimdah chelad haagle sumbark fisslin barget,correlated,"['bimdah.wav', 'chelad.wav', 'haagle.wav', 'sumbark.wav', 'fisslin.wav', 'barget.wav']","['Picture9.png', 'Picture4.png', 'Picture10.png']"
16,goorshell,fisslin,bimdah,chelad,sumbark,barget,goorshell chelad fisslin sumbark bimdah barget,correlated,"['goorshell.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']","['Picture3.png', 'Picture10.png', 'Picture9.png']"
17,bimdah,limeber,dingep,chelad,sumbark,barget,bimdah chelad limeber sumbark dingep barget,correlated,"['bimdah.wav', 'chelad.wav', 'limeber.wav', 'sumbark.wav', 'dingep.wav', 'barget.wav']","['Picture9.png', 'Picture7.png', 'Picture8.png']"
18,haagle,fisslin,bimdah,chelad,sumbark,barget,haagle chelad fisslin sumbark bimdah barget,correlated,"['haagle.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']","['Picture4.png', 'Picture10.png', 'Picture9.png']"
19,nellby,limeber,pakrid,chelad,sumbark,barget,nellby chelad limeber sumbark pakrid barget,correlated,"['nellby.wav', 'chelad.wav', 'limeber.wav', 'sumbark.wav', 'pakrid.wav', 'barget.wav']","['Picture1.png', 'Picture7.png', 'Picture5.png']"
20,nellby,jeelow,rakken,chelad,sumbark,barget,nellby chelad jeelow sumbark rakken barget,correlated,"['nellby.wav', 'chelad.wav', 'jeelow.wav', 'sumbark.wav', 'rakken.wav', 'barget.wav']","['Picture1.png', 'Picture2.png', 'Picture6.png']"
21,pakrid,fisslin,jeelow,chelad,sumbark,barget,pakrid chelad fisslin sumbark jeelow barget,correlated,"['pakrid.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'jeelow.wav', 'barget.wav']","['Picture5.png', 'Picture10.png', 'Picture2.png']"
