trial,item1,item2,item3,casemarker1,casemarker2,casemarker3,final,condition,audio_sequence,image_sequence
1,rakken,nellby,dingep,barget,sumbark,chelad,rakken barget nellby sumbark dingep chelad,isolated-center,"['rakken.wav', 'barget.wav', 'nellby.wav', 'sumbark.wav', 'dingep.wav', 'chelad.wav']","['Picture6.png', 'Picture1.png', 'Picture8.png']"
2,dingep,pakrid,bimdah,barget,sumbark,chelad,dingep barget pakrid sumbark bimdah chelad,isolated-center,"['dingep.wav', 'barget.wav', 'pakrid.wav', 'sumbark.wav', 'bimdah.wav', 'chelad.wav']","['Picture8.png', 'Picture5.png', 'Picture9.png']"
3,pakrid,dingep,fisslin,barget,sumbark,chelad,pakrid barget dingep sumbark fisslin chelad,isolated-center,"['pakrid.wav', 'barget.wav', 'dingep.wav', 'sumbark.wav', 'fisslin.wav', 'chelad.wav']","['Picture5.png', 'Picture8.png', 'Picture10.png']"
4,rakken,bimdah,pakrid,barget,sumbark,chelad,rakken barget bimdah sumbark pakrid chelad,isolated-center,"['rakken.wav', 'barget.wav', 'bimdah.wav', 'sumbark.wav', 'pakrid.wav', 'chelad.wav']","['Picture6.png', 'Picture9.png', 'Picture5.png']"
5,haagle,fisslin,nellby,barget,sumbark,chelad,haagle barget fisslin sumbark nellby chelad,isolated-center,"['haagle.wav', 'barget.wav', 'fisslin.wav', 'sumbark.wav', 'nellby.wav', 'chelad.wav']","['Picture4.png', 'Picture10.png', 'Picture1.png']"
6,dingep,haagle,bimdah,barget,sumbark,chelad,dingep barget haagle sumbark bimdah chelad,isolated-center,"['dingep.wav', 'barget.wav', 'haagle.wav', 'sumbark.wav', 'bimdah.wav', 'chelad.wav']","['Picture8.png', 'Picture4.png', 'Picture9.png']"
7,limeber,bimdah,dingep,barget,sumbark,chelad,limeber barget bimdah sumbark dingep chelad,isolated-center,"['limeber.wav', 'barget.wav', 'bimdah.wav', 'sumbark.wav', 'dingep.wav', 'chelad.wav']","['Picture7.png', 'Picture9.png', 'Picture8.png']"
8,rakken,limeber,bimdah,chelad,sumbark,barget,rakken chelad limeber sumbark bimdah barget,isolated-center,"['rakken.wav', 'chelad.wav', 'limeber.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']","['Picture6.png', 'Picture7.png', 'Picture9.png']"
9,jeelow,nellby,bimdah,chelad,sumbark,barget,jeelow chelad nellby sumbark bimdah barget,isolated-center,"['jeelow.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']","['Picture2.png', 'Picture1.png', 'Picture9.png']"
10,rakken,bimdah,goorshell,barget,sumbark,chelad,rakken barget bimdah sumbark goorshell chelad,isolated-center,"['rakken.wav', 'barget.wav', 'bimdah.wav', 'sumbark.wav', 'goorshell.wav', 'chelad.wav']","['Picture6.png', 'Picture9.png', 'Picture3.png']"
11,bimdah,nellby,pakrid,chelad,sumbark,barget,bimdah chelad nellby sumbark pakrid barget,isolated-center,"['bimdah.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'pakrid.wav', 'barget.wav']","['Picture9.png', 'Picture1.png', 'Picture5.png']"
12,pakrid,bimdah,jeelow,barget,sumbark,chelad,pakrid barget bimdah sumbark jeelow chelad,isolated-center,"['pakrid.wav', 'barget.wav', 'bimdah.wav', 'sumbark.wav', 'jeelow.wav', 'chelad.wav']","['Picture5.png', 'Picture9.png', 'Picture2.png']"
13,bimdah,dingep,jeelow,chelad,sumbark,barget,bimdah chelad dingep sumbark jeelow barget,isolated-center,"['bimdah.wav', 'chelad.wav', 'dingep.wav', 'sumbark.wav', 'jeelow.wav', 'barget.wav']","['Picture9.png', 'Picture8.png', 'Picture2.png']"
14,goorshell,rakken,jeelow,barget,sumbark,chelad,goorshell barget rakken sumbark jeelow chelad,isolated-center,"['goorshell.wav', 'barget.wav', 'rakken.wav', 'sumbark.wav', 'jeelow.wav', 'chelad.wav']","['Picture3.png', 'Picture6.png', 'Picture2.png']"
15,bimdah,haagle,fisslin,barget,sumbark,chelad,bimdah barget haagle sumbark fisslin chelad,isolated-center,"['bimdah.wav', 'barget.wav', 'haagle.wav', 'sumbark.wav', 'fisslin.wav', 'chelad.wav']","['Picture9.png', 'Picture4.png', 'Picture10.png']"
16,goorshell,fisslin,bimdah,chelad,sumbark,barget,goorshell chelad fisslin sumbark bimdah barget,isolated-center,"['goorshell.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']","['Picture3.png', 'Picture10.png', 'Picture9.png']"
17,bimdah,limeber,dingep,barget,sumbark,chelad,bimdah barget limeber sumbark dingep chelad,isolated-center,"['bimdah.wav', 'barget.wav', 'limeber.wav', 'sumbark.wav', 'dingep.wav', 'chelad.wav']","['Picture9.png', 'Picture7.png', 'Picture8.png']"
18,haagle,fisslin,bimdah,chelad,sumbark,barget,haagle chelad fisslin sumbark bimdah barget,isolated-center,"['haagle.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']","['Picture4.png', 'Picture10.png', 'Picture9.png']"
19,nellby,limeber,pakrid,barget,sumbark,chelad,nellby barget limeber sumbark pakrid chelad,isolated-center,"['nellby.wav', 'barget.wav', 'limeber.wav', 'sumbark.wav', 'pakrid.wav', 'chelad.wav']","['Picture1.png', 'Picture7.png', 'Picture5.png']"
20,nellby,jeelow,rakken,chelad,sumbark,barget,nellby chelad jeelow sumbark rakken barget,isolated-center,"['nellby.wav', 'chelad.wav', 'jeelow.wav', 'sumbark.wav', 'rakken.wav', 'barget.wav']","['Picture1.png', 'Picture2.png', 'Picture6.png']"
21,pakrid,fisslin,jeelow,chelad,sumbark,barget,pakrid chelad fisslin sumbark jeelow barget,isolated-center,"['pakrid.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'jeelow.wav', 'barget.wav']","['Picture5.png', 'Picture10.png', 'Picture2.png']"
22,dingep,fisslin,limeber,chelad,sumbark,barget,dingep chelad fisslin sumbark limeber barget,isolated-center,"['dingep.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'limeber.wav', 'barget.wav']","['Picture8.png', 'Picture10.png', 'Picture7.png']"
