trial,item1,item2,item3,casemarker1,casemarker2,casemarker3,final,condition,audio_sequence,image_sequence
1,limeber,nellby,bimdah,jeelow,goorshell,pakrid,limeber jeelow nellby goorshell bimdah pakrid,isolated-right,"['limeber.wav', 'jeelow.wav', 'nellby.wav', 'goorshell.wav', 'bimdah.wav', 'pakrid.wav']","['Picture3.png', 'Picture4.png', 'Picture2.png']"
2,bimdah,barget,haagle,goorshell,jeelow,pakrid,bimdah goorshell barget jeelow haagle pakrid,isolated-right,"['bimdah.wav', 'goorshell.wav', 'barget.wav', 'jeelow.wav', 'haagle.wav', 'pakrid.wav']","['Picture2.png', 'Picture8.png', 'Picture10.png']"
3,rakken,limeber,bimdah,jeelow,goorshell,pakrid,rakken jeelow limeber goorshell bimdah pakrid,isolated-right,"['rakken.wav', 'jeelow.wav', 'limeber.wav', 'goorshell.wav', 'bimdah.wav', 'pakrid.wav']","['Picture5.png', 'Picture3.png', 'Picture2.png']"
4,dingep,nellby,bimdah,jeelow,goorshell,pakrid,dingep jeelow nellby goorshell bimdah pakrid,isolated-right,"['dingep.wav', 'jeelow.wav', 'nellby.wav', 'goorshell.wav', 'bimdah.wav', 'pakrid.wav']","['Picture9.png', 'Picture4.png', 'Picture2.png']"
5,barget,fisslin,rakken,goorshell,jeelow,pakrid,barget goorshell fisslin jeelow rakken pakrid,isolated-right,"['barget.wav', 'goorshell.wav', 'fisslin.wav', 'jeelow.wav', 'rakken.wav', 'pakrid.wav']","['Picture8.png', 'Picture1.png', 'Picture5.png']"
6,chelad,bimdah,rakken,jeelow,goorshell,pakrid,chelad jeelow bimdah goorshell rakken pakrid,isolated-right,"['chelad.wav', 'jeelow.wav', 'bimdah.wav', 'goorshell.wav', 'rakken.wav', 'pakrid.wav']","['Picture6.png', 'Picture2.png', 'Picture5.png']"
7,nellby,dingep,chelad,goorshell,jeelow,pakrid,nellby goorshell dingep jeelow chelad pakrid,isolated-right,"['nellby.wav', 'goorshell.wav', 'dingep.wav', 'jeelow.wav', 'chelad.wav', 'pakrid.wav']","['Picture4.png', 'Picture9.png', 'Picture6.png']"
8,dingep,bimdah,rakken,goorshell,jeelow,pakrid,dingep goorshell bimdah jeelow rakken pakrid,isolated-right,"['dingep.wav', 'goorshell.wav', 'bimdah.wav', 'jeelow.wav', 'rakken.wav', 'pakrid.wav']","['Picture9.png', 'Picture2.png', 'Picture5.png']"
9,fisslin,chelad,dingep,goorshell,jeelow,pakrid,fisslin goorshell chelad jeelow dingep pakrid,isolated-right,"['fisslin.wav', 'goorshell.wav', 'chelad.wav', 'jeelow.wav', 'dingep.wav', 'pakrid.wav']","['Picture1.png', 'Picture6.png', 'Picture9.png']"
10,haagle,barget,bimdah,goorshell,jeelow,pakrid,haagle goorshell barget jeelow bimdah pakrid,isolated-right,"['haagle.wav', 'goorshell.wav', 'barget.wav', 'jeelow.wav', 'bimdah.wav', 'pakrid.wav']","['Picture10.png', 'Picture8.png', 'Picture2.png']"
11,makkot,bimdah,dingep,goorshell,jeelow,pakrid,makkot goorshell bimdah jeelow dingep pakrid,isolated-right,"['makkot.wav', 'goorshell.wav', 'bimdah.wav', 'jeelow.wav', 'dingep.wav', 'pakrid.wav']","['Picture7.png', 'Picture2.png', 'Picture9.png']"
12,limeber,fisslin,nellby,jeelow,goorshell,pakrid,limeber jeelow fisslin goorshell nellby pakrid,isolated-right,"['limeber.wav', 'jeelow.wav', 'fisslin.wav', 'goorshell.wav', 'nellby.wav', 'pakrid.wav']","['Picture3.png', 'Picture1.png', 'Picture4.png']"
13,fisslin,barget,chelad,jeelow,goorshell,pakrid,fisslin jeelow barget goorshell chelad pakrid,isolated-right,"['fisslin.wav', 'jeelow.wav', 'barget.wav', 'goorshell.wav', 'chelad.wav', 'pakrid.wav']","['Picture1.png', 'Picture8.png', 'Picture6.png']"
14,rakken,nellby,fisslin,goorshell,jeelow,pakrid,rakken goorshell nellby jeelow fisslin pakrid,isolated-right,"['rakken.wav', 'goorshell.wav', 'nellby.wav', 'jeelow.wav', 'fisslin.wav', 'pakrid.wav']","['Picture5.png', 'Picture4.png', 'Picture1.png']"
15,rakken,limeber,dingep,goorshell,jeelow,pakrid,rakken goorshell limeber jeelow dingep pakrid,isolated-right,"['rakken.wav', 'goorshell.wav', 'limeber.wav', 'jeelow.wav', 'dingep.wav', 'pakrid.wav']","['Picture5.png', 'Picture3.png', 'Picture9.png']"
16,haagle,dingep,fisslin,jeelow,goorshell,pakrid,haagle jeelow dingep goorshell fisslin pakrid,isolated-right,"['haagle.wav', 'jeelow.wav', 'dingep.wav', 'goorshell.wav', 'fisslin.wav', 'pakrid.wav']","['Picture10.png', 'Picture9.png', 'Picture1.png']"
17,rakken,chelad,bimdah,jeelow,goorshell,pakrid,rakken jeelow chelad goorshell bimdah pakrid,isolated-right,"['rakken.wav', 'jeelow.wav', 'chelad.wav', 'goorshell.wav', 'bimdah.wav', 'pakrid.wav']","['Picture5.png', 'Picture6.png', 'Picture2.png']"
18,rakken,limeber,fisslin,jeelow,goorshell,pakrid,rakken jeelow limeber goorshell fisslin pakrid,isolated-right,"['rakken.wav', 'jeelow.wav', 'limeber.wav', 'goorshell.wav', 'fisslin.wav', 'pakrid.wav']","['Picture5.png', 'Picture3.png', 'Picture1.png']"
19,limeber,barget,makkot,goorshell,jeelow,pakrid,limeber goorshell barget jeelow makkot pakrid,isolated-right,"['limeber.wav', 'goorshell.wav', 'barget.wav', 'jeelow.wav', 'makkot.wav', 'pakrid.wav']","['Picture3.png', 'Picture8.png', 'Picture7.png']"
20,bimdah,rakken,chelad,jeelow,goorshell,pakrid,bimdah jeelow rakken goorshell chelad pakrid,isolated-right,"['bimdah.wav', 'jeelow.wav', 'rakken.wav', 'goorshell.wav', 'chelad.wav', 'pakrid.wav']","['Picture2.png', 'Picture5.png', 'Picture6.png']"
