trial,item1,item2,item3,casemarker1,casemarker2,casemarker3,final,condition,audio_sequence,image_sequence
1,limeber,nellby,bimdah,jeelow,goorshell,pakrid,limeber jeelow nellby goorshell bimdah pakrid,correlated,"['limeber.wav', 'jeelow.wav', 'nellby.wav', 'goorshell.wav', 'bimdah.wav', 'pakrid.wav']","['Picture3.png', 'Picture4.png', 'Picture2.png']"
2,bimdah,barget,haagle,jeelow,goorshell,pakrid,bimdah jeelow barget goorshell haagle pakrid,correlated,"['bimdah.wav', 'jeelow.wav', 'barget.wav', 'goorshell.wav', 'haagle.wav', 'pakrid.wav']","['Picture2.png', 'Picture8.png', 'Picture10.png']"
3,rakken,limeber,bimdah,jeelow,goorshell,pakrid,rakken jeelow limeber goorshell bimdah pakrid,correlated,"['rakken.wav', 'jeelow.wav', 'limeber.wav', 'goorshell.wav', 'bimdah.wav', 'pakrid.wav']","['Picture5.png', 'Picture3.png', 'Picture2.png']"
4,dingep,nellby,bimdah,jeelow,goorshell,pakrid,dingep jeelow nellby goorshell bimdah pakrid,correlated,"['dingep.wav', 'jeelow.wav', 'nellby.wav', 'goorshell.wav', 'bimdah.wav', 'pakrid.wav']","['Picture9.png', 'Picture4.png', 'Picture2.png']"
5,barget,fisslin,rakken,jeelow,goorshell,pakrid,barget jeelow fisslin goorshell rakken pakrid,correlated,"['barget.wav', 'jeelow.wav', 'fisslin.wav', 'goorshell.wav', 'rakken.wav', 'pakrid.wav']","['Picture8.png', 'Picture1.png', 'Picture5.png']"
6,chelad,bimdah,rakken,jeelow,goorshell,pakrid,chelad jeelow bimdah goorshell rakken pakrid,correlated,"['chelad.wav', 'jeelow.wav', 'bimdah.wav', 'goorshell.wav', 'rakken.wav', 'pakrid.wav']","['Picture6.png', 'Picture2.png', 'Picture5.png']"
7,nellby,dingep,chelad,jeelow,goorshell,pakrid,nellby jeelow dingep goorshell chelad pakrid,correlated,"['nellby.wav', 'jeelow.wav', 'dingep.wav', 'goorshell.wav', 'chelad.wav', 'pakrid.wav']","['Picture4.png', 'Picture9.png', 'Picture6.png']"
8,dingep,bimdah,rakken,jeelow,goorshell,pakrid,dingep jeelow bimdah goorshell rakken pakrid,correlated,"['dingep.wav', 'jeelow.wav', 'bimdah.wav', 'goorshell.wav', 'rakken.wav', 'pakrid.wav']","['Picture9.png', 'Picture2.png', 'Picture5.png']"
9,fisslin,chelad,dingep,jeelow,goorshell,pakrid,fisslin jeelow chelad goorshell dingep pakrid,correlated,"['fisslin.wav', 'jeelow.wav', 'chelad.wav', 'goorshell.wav', 'dingep.wav', 'pakrid.wav']","['Picture1.png', 'Picture6.png', 'Picture9.png']"
10,haagle,barget,bimdah,jeelow,goorshell,pakrid,haagle jeelow barget goorshell bimdah pakrid,correlated,"['haagle.wav', 'jeelow.wav', 'barget.wav', 'goorshell.wav', 'bimdah.wav', 'pakrid.wav']","['Picture10.png', 'Picture8.png', 'Picture2.png']"
11,makkot,bimdah,dingep,jeelow,goorshell,pakrid,makkot jeelow bimdah goorshell dingep pakrid,correlated,"['makkot.wav', 'jeelow.wav', 'bimdah.wav', 'goorshell.wav', 'dingep.wav', 'pakrid.wav']","['Picture7.png', 'Picture2.png', 'Picture9.png']"
12,limeber,fisslin,nellby,jeelow,goorshell,pakrid,limeber jeelow fisslin goorshell nellby pakrid,correlated,"['limeber.wav', 'jeelow.wav', 'fisslin.wav', 'goorshell.wav', 'nellby.wav', 'pakrid.wav']","['Picture3.png', 'Picture1.png', 'Picture4.png']"
13,fisslin,barget,chelad,jeelow,goorshell,pakrid,fisslin jeelow barget goorshell chelad pakrid,correlated,"['fisslin.wav', 'jeelow.wav', 'barget.wav', 'goorshell.wav', 'chelad.wav', 'pakrid.wav']","['Picture1.png', 'Picture8.png', 'Picture6.png']"
14,rakken,nellby,fisslin,jeelow,goorshell,pakrid,rakken jeelow nellby goorshell fisslin pakrid,correlated,"['rakken.wav', 'jeelow.wav', 'nellby.wav', 'goorshell.wav', 'fisslin.wav', 'pakrid.wav']","['Picture5.png', 'Picture4.png', 'Picture1.png']"
15,rakken,limeber,dingep,jeelow,goorshell,pakrid,rakken jeelow limeber goorshell dingep pakrid,correlated,"['rakken.wav', 'jeelow.wav', 'limeber.wav', 'goorshell.wav', 'dingep.wav', 'pakrid.wav']","['Picture5.png', 'Picture3.png', 'Picture9.png']"
16,haagle,dingep,fisslin,jeelow,goorshell,pakrid,haagle jeelow dingep goorshell fisslin pakrid,correlated,"['haagle.wav', 'jeelow.wav', 'dingep.wav', 'goorshell.wav', 'fisslin.wav', 'pakrid.wav']","['Picture10.png', 'Picture9.png', 'Picture1.png']"
17,rakken,chelad,bimdah,jeelow,goorshell,pakrid,rakken jeelow chelad goorshell bimdah pakrid,correlated,"['rakken.wav', 'jeelow.wav', 'chelad.wav', 'goorshell.wav', 'bimdah.wav', 'pakrid.wav']","['Picture5.png', 'Picture6.png', 'Picture2.png']"
18,rakken,limeber,fisslin,jeelow,goorshell,pakrid,rakken jeelow limeber goorshell fisslin pakrid,correlated,"['rakken.wav', 'jeelow.wav', 'limeber.wav', 'goorshell.wav', 'fisslin.wav', 'pakrid.wav']","['Picture5.png', 'Picture3.png', 'Picture1.png']"
19,limeber,barget,makkot,jeelow,goorshell,pakrid,limeber jeelow barget goorshell makkot pakrid,correlated,"['limeber.wav', 'jeelow.wav', 'barget.wav', 'goorshell.wav', 'makkot.wav', 'pakrid.wav']","['Picture3.png', 'Picture8.png', 'Picture7.png']"
20,bimdah,rakken,chelad,jeelow,goorshell,pakrid,bimdah jeelow rakken goorshell chelad pakrid,correlated,"['bimdah.wav', 'jeelow.wav', 'rakken.wav', 'goorshell.wav', 'chelad.wav', 'pakrid.wav']","['Picture2.png', 'Picture5.png', 'Picture6.png']"
1,limeber,nellby,bimdah,jeelow,goorshell,pakrid,limeber jeelow nellby goorshell bimdah pakrid,isolated-left,"['limeber.wav', 'jeelow.wav', 'nellby.wav', 'goorshell.wav', 'bimdah.wav', 'pakrid.wav']","['Picture3.png', 'Picture4.png', 'Picture2.png']"
2,bimdah,barget,haagle,jeelow,pakrid,goorshell,bimdah jeelow barget pakrid haagle goorshell,isolated-left,"['bimdah.wav', 'jeelow.wav', 'barget.wav', 'pakrid.wav', 'haagle.wav', 'goorshell.wav']","['Picture2.png', 'Picture8.png', 'Picture10.png']"
3,rakken,limeber,bimdah,jeelow,pakrid,goorshell,rakken jeelow limeber pakrid bimdah goorshell,isolated-left,"['rakken.wav', 'jeelow.wav', 'limeber.wav', 'pakrid.wav', 'bimdah.wav', 'goorshell.wav']","['Picture5.png', 'Picture3.png', 'Picture2.png']"
4,dingep,nellby,bimdah,jeelow,pakrid,goorshell,dingep jeelow nellby pakrid bimdah goorshell,isolated-left,"['dingep.wav', 'jeelow.wav', 'nellby.wav', 'pakrid.wav', 'bimdah.wav', 'goorshell.wav']","['Picture9.png', 'Picture4.png', 'Picture2.png']"
5,barget,fisslin,rakken,jeelow,goorshell,pakrid,barget jeelow fisslin goorshell rakken pakrid,isolated-left,"['barget.wav', 'jeelow.wav', 'fisslin.wav', 'goorshell.wav', 'rakken.wav', 'pakrid.wav']","['Picture8.png', 'Picture1.png', 'Picture5.png']"
6,chelad,bimdah,rakken,jeelow,pakrid,goorshell,chelad jeelow bimdah pakrid rakken goorshell,isolated-left,"['chelad.wav', 'jeelow.wav', 'bimdah.wav', 'pakrid.wav', 'rakken.wav', 'goorshell.wav']","['Picture6.png', 'Picture2.png', 'Picture5.png']"
7,nellby,dingep,chelad,jeelow,goorshell,pakrid,nellby jeelow dingep goorshell chelad pakrid,isolated-left,"['nellby.wav', 'jeelow.wav', 'dingep.wav', 'goorshell.wav', 'chelad.wav', 'pakrid.wav']","['Picture4.png', 'Picture9.png', 'Picture6.png']"
8,dingep,bimdah,rakken,jeelow,goorshell,pakrid,dingep jeelow bimdah goorshell rakken pakrid,isolated-left,"['dingep.wav', 'jeelow.wav', 'bimdah.wav', 'goorshell.wav', 'rakken.wav', 'pakrid.wav']","['Picture9.png', 'Picture2.png', 'Picture5.png']"
