,block,trial,audio,S1,S2,S3,repetition_found
0,1,1,"['dingep.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'rakken.wav', 'barget.wav']",Picture1.png,Picture3.png,Picture8.png,-
1,1,2,"['bimdah.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'fisslin.wav', 'barget.wav']",Picture2.png,Picture5.png,Picture3.png,-
2,1,3,"['fisslin.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'haagle.wav', 'barget.wav']",Picture3.png,Picture2.png,Picture10.png,-
3,1,3,"['fisslin.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'haagle.wav', 'barget.wav']",Picture3.png,Picture2.png,Picture10.png,0.0
4,1,4,"['pakrid.wav', 'chelad.wav', 'goorshell.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']",Picture4.png,Picture6.png,Picture2.png,-
5,1,5,"['nellby.wav', 'chelad.wav', 'jeelow.wav', 'sumbark.wav', 'dingep.wav', 'barget.wav']",Picture5.png,Picture7.png,Picture1.png,-
0,2,1,"['dingep.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'pakrid.wav', 'barget.wav']",Picture1.png,Picture5.png,Picture4.png,-
1,2,2,"['bimdah.wav', 'chelad.wav', 'goorshell.wav', 'sumbark.wav', 'haagle.wav', 'barget.wav']",Picture2.png,Picture6.png,Picture10.png,-
2,2,3,"['fisslin.wav', 'chelad.wav', 'haagle.wav', 'sumbark.wav', 'dingep.wav', 'barget.wav']",Picture3.png,Picture10.png,Picture1.png,-
3,2,4,"['pakrid.wav', 'chelad.wav', 'limeber.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']",Picture4.png,Picture9.png,Picture2.png,-
4,2,5,"['nellby.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'goorshell.wav', 'barget.wav']",Picture5.png,Picture2.png,Picture6.png,-
5,2,6,"['goorshell.wav', 'chelad.wav', 'dingep.wav', 'sumbark.wav', 'rakken.wav', 'barget.wav']",Picture6.png,Picture1.png,Picture8.png,-
