trial,item1,item2,item3,casemarker1,casemarker2,casemarker3,final,condition,audio_sequence,image_sequence
1,rakken,dingep,pakrid,nellby,chelad,jeelow,rakken nellby dingep chelad pakrid jeelow,correlated,"['rakken.wav', 'nellby.wav', 'dingep.wav', 'chelad.wav', 'pakrid.wav', 'jeelow.wav']","['Picture2.png', 'Picture6.png', 'Picture3.png']"
2,rakken,makkot,pakrid,nellby,chelad,jeelow,rakken nellby makkot chelad pakrid jeelow,correlated,"['rakken.wav', 'nellby.wav', 'makkot.wav', 'chelad.wav', 'pakrid.wav', 'jeelow.wav']","['Picture2.png', 'Picture4.png', 'Picture3.png']"
3,barget,dingep,sumbark,nellby,chelad,jeelow,barget nellby dingep chelad sumbark jeelow,correlated,"['barget.wav', 'nellby.wav', 'dingep.wav', 'chelad.wav', 'sumbark.wav', 'jeelow.wav']","['Picture8.png', 'Picture6.png', 'Picture7.png']"
4,bimdah,haagle,pakrid,nellby,chelad,jeelow,bimdah nellby haagle chelad pakrid jeelow,correlated,"['bimdah.wav', 'nellby.wav', 'haagle.wav', 'chelad.wav', 'pakrid.wav', 'jeelow.wav']","['Picture10.png', 'Picture1.png', 'Picture3.png']"
5,fisslin,goorshell,haagle,nellby,chelad,jeelow,fisslin nellby goorshell chelad haagle jeelow,correlated,"['fisslin.wav', 'nellby.wav', 'goorshell.wav', 'chelad.wav', 'haagle.wav', 'jeelow.wav']","['Picture9.png', 'Picture5.png', 'Picture1.png']"
6,rakken,makkot,fisslin,nellby,chelad,jeelow,rakken nellby makkot chelad fisslin jeelow,correlated,"['rakken.wav', 'nellby.wav', 'makkot.wav', 'chelad.wav', 'fisslin.wav', 'jeelow.wav']","['Picture2.png', 'Picture4.png', 'Picture9.png']"
7,dingep,goorshell,sumbark,nellby,chelad,jeelow,dingep nellby goorshell chelad sumbark jeelow,correlated,"['dingep.wav', 'nellby.wav', 'goorshell.wav', 'chelad.wav', 'sumbark.wav', 'jeelow.wav']","['Picture6.png', 'Picture5.png', 'Picture7.png']"
8,rakken,dingep,sumbark,nellby,chelad,jeelow,rakken nellby dingep chelad sumbark jeelow,correlated,"['rakken.wav', 'nellby.wav', 'dingep.wav', 'chelad.wav', 'sumbark.wav', 'jeelow.wav']","['Picture2.png', 'Picture6.png', 'Picture7.png']"
9,goorshell,makkot,sumbark,nellby,chelad,jeelow,goorshell nellby makkot chelad sumbark jeelow,correlated,"['goorshell.wav', 'nellby.wav', 'makkot.wav', 'chelad.wav', 'sumbark.wav', 'jeelow.wav']","['Picture5.png', 'Picture4.png', 'Picture7.png']"
10,haagle,pakrid,rakken,nellby,chelad,jeelow,haagle nellby pakrid chelad rakken jeelow,correlated,"['haagle.wav', 'nellby.wav', 'pakrid.wav', 'chelad.wav', 'rakken.wav', 'jeelow.wav']","['Picture1.png', 'Picture3.png', 'Picture2.png']"
11,bimdah,haagle,goorshell,nellby,chelad,jeelow,bimdah nellby haagle chelad goorshell jeelow,correlated,"['bimdah.wav', 'nellby.wav', 'haagle.wav', 'chelad.wav', 'goorshell.wav', 'jeelow.wav']","['Picture10.png', 'Picture1.png', 'Picture5.png']"
12,barget,fisslin,haagle,nellby,chelad,jeelow,barget nellby fisslin chelad haagle jeelow,correlated,"['barget.wav', 'nellby.wav', 'fisslin.wav', 'chelad.wav', 'haagle.wav', 'jeelow.wav']","['Picture8.png', 'Picture9.png', 'Picture1.png']"
13,sumbark,fisslin,makkot,nellby,chelad,jeelow,sumbark nellby fisslin chelad makkot jeelow,correlated,"['sumbark.wav', 'nellby.wav', 'fisslin.wav', 'chelad.wav', 'makkot.wav', 'jeelow.wav']","['Picture7.png', 'Picture9.png', 'Picture4.png']"
14,fisslin,haagle,bimdah,nellby,chelad,jeelow,fisslin nellby haagle chelad bimdah jeelow,correlated,"['fisslin.wav', 'nellby.wav', 'haagle.wav', 'chelad.wav', 'bimdah.wav', 'jeelow.wav']","['Picture9.png', 'Picture1.png', 'Picture10.png']"
15,makkot,rakken,haagle,nellby,chelad,jeelow,makkot nellby rakken chelad haagle jeelow,correlated,"['makkot.wav', 'nellby.wav', 'rakken.wav', 'chelad.wav', 'haagle.wav', 'jeelow.wav']","['Picture4.png', 'Picture2.png', 'Picture1.png']"
16,pakrid,haagle,bimdah,nellby,chelad,jeelow,pakrid nellby haagle chelad bimdah jeelow,correlated,"['pakrid.wav', 'nellby.wav', 'haagle.wav', 'chelad.wav', 'bimdah.wav', 'jeelow.wav']","['Picture3.png', 'Picture1.png', 'Picture10.png']"
17,barget,goorshell,makkot,nellby,chelad,jeelow,barget nellby goorshell chelad makkot jeelow,correlated,"['barget.wav', 'nellby.wav', 'goorshell.wav', 'chelad.wav', 'makkot.wav', 'jeelow.wav']","['Picture8.png', 'Picture5.png', 'Picture4.png']"
18,barget,fisslin,makkot,nellby,chelad,jeelow,barget nellby fisslin chelad makkot jeelow,correlated,"['barget.wav', 'nellby.wav', 'fisslin.wav', 'chelad.wav', 'makkot.wav', 'jeelow.wav']","['Picture8.png', 'Picture9.png', 'Picture4.png']"
19,rakken,pakrid,haagle,nellby,chelad,jeelow,rakken nellby pakrid chelad haagle jeelow,correlated,"['rakken.wav', 'nellby.wav', 'pakrid.wav', 'chelad.wav', 'haagle.wav', 'jeelow.wav']","['Picture2.png', 'Picture3.png', 'Picture1.png']"
20,sumbark,haagle,rakken,nellby,chelad,jeelow,sumbark nellby haagle chelad rakken jeelow,correlated,"['sumbark.wav', 'nellby.wav', 'haagle.wav', 'chelad.wav', 'rakken.wav', 'jeelow.wav']","['Picture7.png', 'Picture1.png', 'Picture2.png']"
