trial,item1,item2,item3,casemarker1,casemarker2,casemarker3,final,condition,audio_sequence,image_sequence
1,goorshell,limeber,rakken,dingep,chelad,makkot,goorshell dingep limeber chelad rakken makkot,isolated-center,"['goorshell.wav', 'dingep.wav', 'limeber.wav', 'chelad.wav', 'rakken.wav', 'makkot.wav']","['Picture3.png', 'Picture10.png', 'Picture7.png']"
2,haagle,sumbark,goorshell,dingep,chelad,makkot,haagle dingep sumbark chelad goorshell makkot,isolated-center,"['haagle.wav', 'dingep.wav', 'sumbark.wav', 'chelad.wav', 'goorshell.wav', 'makkot.wav']","['Picture5.png', 'Picture1.png', 'Picture3.png']"
3,pakrid,haagle,goorshell,makkot,chelad,dingep,pakrid makkot haagle chelad goorshell dingep,isolated-center,"['pakrid.wav', 'makkot.wav', 'haagle.wav', 'chelad.wav', 'goorshell.wav', 'dingep.wav']","['Picture8.png', 'Picture5.png', 'Picture3.png']"
4,rakken,sumbark,nellby,makkot,chelad,dingep,rakken makkot sumbark chelad nellby dingep,isolated-center,"['rakken.wav', 'makkot.wav', 'sumbark.wav', 'chelad.wav', 'nellby.wav', 'dingep.wav']","['Picture7.png', 'Picture1.png', 'Picture2.png']"
5,bimdah,nellby,pakrid,dingep,chelad,makkot,bimdah dingep nellby chelad pakrid makkot,isolated-center,"['bimdah.wav', 'dingep.wav', 'nellby.wav', 'chelad.wav', 'pakrid.wav', 'makkot.wav']","['Picture4.png', 'Picture2.png', 'Picture8.png']"
6,barget,sumbark,rakken,dingep,chelad,makkot,barget dingep sumbark chelad rakken makkot,isolated-center,"['barget.wav', 'dingep.wav', 'sumbark.wav', 'chelad.wav', 'rakken.wav', 'makkot.wav']","['Picture6.png', 'Picture1.png', 'Picture7.png']"
7,haagle,goorshell,bimdah,dingep,chelad,makkot,haagle dingep goorshell chelad bimdah makkot,isolated-center,"['haagle.wav', 'dingep.wav', 'goorshell.wav', 'chelad.wav', 'bimdah.wav', 'makkot.wav']","['Picture5.png', 'Picture3.png', 'Picture4.png']"
8,pakrid,goorshell,barget,makkot,chelad,dingep,pakrid makkot goorshell chelad barget dingep,isolated-center,"['pakrid.wav', 'makkot.wav', 'goorshell.wav', 'chelad.wav', 'barget.wav', 'dingep.wav']","['Picture8.png', 'Picture3.png', 'Picture6.png']"
9,bimdah,limeber,pakrid,makkot,chelad,dingep,bimdah makkot limeber chelad pakrid dingep,isolated-center,"['bimdah.wav', 'makkot.wav', 'limeber.wav', 'chelad.wav', 'pakrid.wav', 'dingep.wav']","['Picture4.png', 'Picture10.png', 'Picture8.png']"
10,barget,bimdah,haagle,dingep,chelad,makkot,barget dingep bimdah chelad haagle makkot,isolated-center,"['barget.wav', 'dingep.wav', 'bimdah.wav', 'chelad.wav', 'haagle.wav', 'makkot.wav']","['Picture6.png', 'Picture4.png', 'Picture5.png']"
11,goorshell,barget,limeber,makkot,chelad,dingep,goorshell makkot barget chelad limeber dingep,isolated-center,"['goorshell.wav', 'makkot.wav', 'barget.wav', 'chelad.wav', 'limeber.wav', 'dingep.wav']","['Picture3.png', 'Picture6.png', 'Picture10.png']"
12,nellby,pakrid,haagle,makkot,chelad,dingep,nellby makkot pakrid chelad haagle dingep,isolated-center,"['nellby.wav', 'makkot.wav', 'pakrid.wav', 'chelad.wav', 'haagle.wav', 'dingep.wav']","['Picture2.png', 'Picture8.png', 'Picture5.png']"
13,sumbark,haagle,nellby,makkot,chelad,dingep,sumbark makkot haagle chelad nellby dingep,isolated-center,"['sumbark.wav', 'makkot.wav', 'haagle.wav', 'chelad.wav', 'nellby.wav', 'dingep.wav']","['Picture1.png', 'Picture5.png', 'Picture2.png']"
14,sumbark,rakken,haagle,makkot,chelad,dingep,sumbark makkot rakken chelad haagle dingep,isolated-center,"['sumbark.wav', 'makkot.wav', 'rakken.wav', 'chelad.wav', 'haagle.wav', 'dingep.wav']","['Picture1.png', 'Picture7.png', 'Picture5.png']"
15,bimdah,jeelow,limeber,dingep,chelad,makkot,bimdah dingep jeelow chelad limeber makkot,isolated-center,"['bimdah.wav', 'dingep.wav', 'jeelow.wav', 'chelad.wav', 'limeber.wav', 'makkot.wav']","['Picture4.png', 'Picture9.png', 'Picture10.png']"
16,nellby,bimdah,haagle,dingep,chelad,makkot,nellby dingep bimdah chelad haagle makkot,isolated-center,"['nellby.wav', 'dingep.wav', 'bimdah.wav', 'chelad.wav', 'haagle.wav', 'makkot.wav']","['Picture2.png', 'Picture4.png', 'Picture5.png']"
17,bimdah,goorshell,limeber,dingep,chelad,makkot,bimdah dingep goorshell chelad limeber makkot,isolated-center,"['bimdah.wav', 'dingep.wav', 'goorshell.wav', 'chelad.wav', 'limeber.wav', 'makkot.wav']","['Picture4.png', 'Picture3.png', 'Picture10.png']"
18,limeber,rakken,barget,dingep,chelad,makkot,limeber dingep rakken chelad barget makkot,isolated-center,"['limeber.wav', 'dingep.wav', 'rakken.wav', 'chelad.wav', 'barget.wav', 'makkot.wav']","['Picture10.png', 'Picture7.png', 'Picture6.png']"
19,pakrid,goorshell,rakken,makkot,chelad,dingep,pakrid makkot goorshell chelad rakken dingep,isolated-center,"['pakrid.wav', 'makkot.wav', 'goorshell.wav', 'chelad.wav', 'rakken.wav', 'dingep.wav']","['Picture8.png', 'Picture3.png', 'Picture7.png']"
20,bimdah,goorshell,nellby,makkot,chelad,dingep,bimdah makkot goorshell chelad nellby dingep,isolated-center,"['bimdah.wav', 'makkot.wav', 'goorshell.wav', 'chelad.wav', 'nellby.wav', 'dingep.wav']","['Picture4.png', 'Picture3.png', 'Picture2.png']"
