trial,item1,item2,item3,casemarker1,casemarker2,casemarker3,final,condition,audio_sequence,image_sequence
1,rakken,sumbark,haagle,barget,nellby,dingep,rakken barget sumbark nellby haagle dingep,correlated,"['rakken.wav', 'barget.wav', 'sumbark.wav', 'nellby.wav', 'haagle.wav', 'dingep.wav']","['Picture6.png', 'Picture3.png', 'Picture9.png']"
2,chelad,makkot,bimdah,barget,nellby,dingep,chelad barget makkot nellby bimdah dingep,correlated,"['chelad.wav', 'barget.wav', 'makkot.wav', 'nellby.wav', 'bimdah.wav', 'dingep.wav']","['Picture1.png', 'Picture2.png', 'Picture10.png']"
3,haagle,bimdah,limeber,barget,nellby,dingep,haagle barget bimdah nellby limeber dingep,correlated,"['haagle.wav', 'barget.wav', 'bimdah.wav', 'nellby.wav', 'limeber.wav', 'dingep.wav']","['Picture9.png', 'Picture10.png', 'Picture4.png']"
4,makkot,rakken,jeelow,barget,nellby,dingep,makkot barget rakken nellby jeelow dingep,correlated,"['makkot.wav', 'barget.wav', 'rakken.wav', 'nellby.wav', 'jeelow.wav', 'dingep.wav']","['Picture2.png', 'Picture6.png', 'Picture7.png']"
5,jeelow,makkot,sumbark,barget,nellby,dingep,jeelow barget makkot nellby sumbark dingep,correlated,"['jeelow.wav', 'barget.wav', 'makkot.wav', 'nellby.wav', 'sumbark.wav', 'dingep.wav']","['Picture7.png', 'Picture2.png', 'Picture3.png']"
6,haagle,chelad,fisslin,barget,nellby,dingep,haagle barget chelad nellby fisslin dingep,correlated,"['haagle.wav', 'barget.wav', 'chelad.wav', 'nellby.wav', 'fisslin.wav', 'dingep.wav']","['Picture9.png', 'Picture1.png', 'Picture8.png']"
7,chelad,goorshell,haagle,barget,nellby,dingep,chelad barget goorshell nellby haagle dingep,correlated,"['chelad.wav', 'barget.wav', 'goorshell.wav', 'nellby.wav', 'haagle.wav', 'dingep.wav']","['Picture1.png', 'Picture5.png', 'Picture9.png']"
8,limeber,haagle,jeelow,barget,nellby,dingep,limeber barget haagle nellby jeelow dingep,correlated,"['limeber.wav', 'barget.wav', 'haagle.wav', 'nellby.wav', 'jeelow.wav', 'dingep.wav']","['Picture4.png', 'Picture9.png', 'Picture7.png']"
9,jeelow,bimdah,haagle,barget,nellby,dingep,jeelow barget bimdah nellby haagle dingep,correlated,"['jeelow.wav', 'barget.wav', 'bimdah.wav', 'nellby.wav', 'haagle.wav', 'dingep.wav']","['Picture7.png', 'Picture10.png', 'Picture9.png']"
10,fisslin,makkot,sumbark,barget,nellby,dingep,fisslin barget makkot nellby sumbark dingep,correlated,"['fisslin.wav', 'barget.wav', 'makkot.wav', 'nellby.wav', 'sumbark.wav', 'dingep.wav']","['Picture8.png', 'Picture2.png', 'Picture3.png']"
11,goorshell,makkot,fisslin,barget,nellby,dingep,goorshell barget makkot nellby fisslin dingep,correlated,"['goorshell.wav', 'barget.wav', 'makkot.wav', 'nellby.wav', 'fisslin.wav', 'dingep.wav']","['Picture5.png', 'Picture2.png', 'Picture8.png']"
12,fisslin,limeber,rakken,barget,nellby,dingep,fisslin barget limeber nellby rakken dingep,correlated,"['fisslin.wav', 'barget.wav', 'limeber.wav', 'nellby.wav', 'rakken.wav', 'dingep.wav']","['Picture8.png', 'Picture4.png', 'Picture6.png']"
13,haagle,rakken,bimdah,barget,nellby,dingep,haagle barget rakken nellby bimdah dingep,correlated,"['haagle.wav', 'barget.wav', 'rakken.wav', 'nellby.wav', 'bimdah.wav', 'dingep.wav']","['Picture9.png', 'Picture6.png', 'Picture10.png']"
14,bimdah,haagle,rakken,barget,nellby,dingep,bimdah barget haagle nellby rakken dingep,correlated,"['bimdah.wav', 'barget.wav', 'haagle.wav', 'nellby.wav', 'rakken.wav', 'dingep.wav']","['Picture10.png', 'Picture9.png', 'Picture6.png']"
15,bimdah,sumbark,chelad,barget,nellby,dingep,bimdah barget sumbark nellby chelad dingep,correlated,"['bimdah.wav', 'barget.wav', 'sumbark.wav', 'nellby.wav', 'chelad.wav', 'dingep.wav']","['Picture10.png', 'Picture3.png', 'Picture1.png']"
16,chelad,bimdah,jeelow,barget,nellby,dingep,chelad barget bimdah nellby jeelow dingep,correlated,"['chelad.wav', 'barget.wav', 'bimdah.wav', 'nellby.wav', 'jeelow.wav', 'dingep.wav']","['Picture1.png', 'Picture10.png', 'Picture7.png']"
17,haagle,fisslin,goorshell,barget,nellby,dingep,haagle barget fisslin nellby goorshell dingep,correlated,"['haagle.wav', 'barget.wav', 'fisslin.wav', 'nellby.wav', 'goorshell.wav', 'dingep.wav']","['Picture9.png', 'Picture8.png', 'Picture5.png']"
18,bimdah,fisslin,rakken,barget,nellby,dingep,bimdah barget fisslin nellby rakken dingep,correlated,"['bimdah.wav', 'barget.wav', 'fisslin.wav', 'nellby.wav', 'rakken.wav', 'dingep.wav']","['Picture10.png', 'Picture8.png', 'Picture6.png']"
19,limeber,rakken,haagle,barget,nellby,dingep,limeber barget rakken nellby haagle dingep,correlated,"['limeber.wav', 'barget.wav', 'rakken.wav', 'nellby.wav', 'haagle.wav', 'dingep.wav']","['Picture4.png', 'Picture6.png', 'Picture9.png']"
20,rakken,fisslin,limeber,barget,nellby,dingep,rakken barget fisslin nellby limeber dingep,correlated,"['rakken.wav', 'barget.wav', 'fisslin.wav', 'nellby.wav', 'limeber.wav', 'dingep.wav']","['Picture6.png', 'Picture8.png', 'Picture4.png']"
1,rakken,sumbark,haagle,barget,dingep,nellby,rakken barget sumbark dingep haagle nellby,isolated-left,"['rakken.wav', 'barget.wav', 'sumbark.wav', 'dingep.wav', 'haagle.wav', 'nellby.wav']","['Picture6.png', 'Picture3.png', 'Picture9.png']"
2,chelad,makkot,bimdah,barget,nellby,dingep,chelad barget makkot nellby bimdah dingep,isolated-left,"['chelad.wav', 'barget.wav', 'makkot.wav', 'nellby.wav', 'bimdah.wav', 'dingep.wav']","['Picture1.png', 'Picture2.png', 'Picture10.png']"
3,haagle,bimdah,limeber,barget,nellby,dingep,haagle barget bimdah nellby limeber dingep,isolated-left,"['haagle.wav', 'barget.wav', 'bimdah.wav', 'nellby.wav', 'limeber.wav', 'dingep.wav']","['Picture9.png', 'Picture10.png', 'Picture4.png']"
4,makkot,rakken,jeelow,barget,nellby,dingep,makkot barget rakken nellby jeelow dingep,isolated-left,"['makkot.wav', 'barget.wav', 'rakken.wav', 'nellby.wav', 'jeelow.wav', 'dingep.wav']","['Picture2.png', 'Picture6.png', 'Picture7.png']"
5,jeelow,makkot,sumbark,barget,dingep,nellby,jeelow barget makkot dingep sumbark nellby,isolated-left,"['jeelow.wav', 'barget.wav', 'makkot.wav', 'dingep.wav', 'sumbark.wav', 'nellby.wav']","['Picture7.png', 'Picture2.png', 'Picture3.png']"
6,haagle,chelad,fisslin,barget,nellby,dingep,haagle barget chelad nellby fisslin dingep,isolated-left,"['haagle.wav', 'barget.wav', 'chelad.wav', 'nellby.wav', 'fisslin.wav', 'dingep.wav']","['Picture9.png', 'Picture1.png', 'Picture8.png']"
7,chelad,goorshell,haagle,barget,dingep,nellby,chelad barget goorshell dingep haagle nellby,isolated-left,"['chelad.wav', 'barget.wav', 'goorshell.wav', 'dingep.wav', 'haagle.wav', 'nellby.wav']","['Picture1.png', 'Picture5.png', 'Picture9.png']"
8,limeber,haagle,jeelow,barget,dingep,nellby,limeber barget haagle dingep jeelow nellby,isolated-left,"['limeber.wav', 'barget.wav', 'haagle.wav', 'dingep.wav', 'jeelow.wav', 'nellby.wav']","['Picture4.png', 'Picture9.png', 'Picture7.png']"
