trial,item1,item2,item3,casemarker1,casemarker2,casemarker3,final,condition,audio_sequence,image_sequence
1,goorshell,limeber,rakken,makkot,chelad,dingep,goorshell makkot limeber chelad rakken dingep,correlated,"['goorshell.wav', 'makkot.wav', 'limeber.wav', 'chelad.wav', 'rakken.wav', 'dingep.wav']","['Picture3.png', 'Picture10.png', 'Picture7.png']"
2,haagle,sumbark,goorshell,makkot,chelad,dingep,haagle makkot sumbark chelad goorshell dingep,correlated,"['haagle.wav', 'makkot.wav', 'sumbark.wav', 'chelad.wav', 'goorshell.wav', 'dingep.wav']","['Picture5.png', 'Picture1.png', 'Picture3.png']"
3,pakrid,haagle,goorshell,makkot,chelad,dingep,pakrid makkot haagle chelad goorshell dingep,correlated,"['pakrid.wav', 'makkot.wav', 'haagle.wav', 'chelad.wav', 'goorshell.wav', 'dingep.wav']","['Picture8.png', 'Picture5.png', 'Picture3.png']"
4,rakken,sumbark,nellby,makkot,chelad,dingep,rakken makkot sumbark chelad nellby dingep,correlated,"['rakken.wav', 'makkot.wav', 'sumbark.wav', 'chelad.wav', 'nellby.wav', 'dingep.wav']","['Picture7.png', 'Picture1.png', 'Picture2.png']"
5,bimdah,nellby,pakrid,makkot,chelad,dingep,bimdah makkot nellby chelad pakrid dingep,correlated,"['bimdah.wav', 'makkot.wav', 'nellby.wav', 'chelad.wav', 'pakrid.wav', 'dingep.wav']","['Picture4.png', 'Picture2.png', 'Picture8.png']"
6,barget,sumbark,rakken,makkot,chelad,dingep,barget makkot sumbark chelad rakken dingep,correlated,"['barget.wav', 'makkot.wav', 'sumbark.wav', 'chelad.wav', 'rakken.wav', 'dingep.wav']","['Picture6.png', 'Picture1.png', 'Picture7.png']"
7,haagle,goorshell,bimdah,makkot,chelad,dingep,haagle makkot goorshell chelad bimdah dingep,correlated,"['haagle.wav', 'makkot.wav', 'goorshell.wav', 'chelad.wav', 'bimdah.wav', 'dingep.wav']","['Picture5.png', 'Picture3.png', 'Picture4.png']"
8,pakrid,goorshell,barget,makkot,chelad,dingep,pakrid makkot goorshell chelad barget dingep,correlated,"['pakrid.wav', 'makkot.wav', 'goorshell.wav', 'chelad.wav', 'barget.wav', 'dingep.wav']","['Picture8.png', 'Picture3.png', 'Picture6.png']"
9,bimdah,limeber,pakrid,makkot,chelad,dingep,bimdah makkot limeber chelad pakrid dingep,correlated,"['bimdah.wav', 'makkot.wav', 'limeber.wav', 'chelad.wav', 'pakrid.wav', 'dingep.wav']","['Picture4.png', 'Picture10.png', 'Picture8.png']"
10,barget,bimdah,haagle,makkot,chelad,dingep,barget makkot bimdah chelad haagle dingep,correlated,"['barget.wav', 'makkot.wav', 'bimdah.wav', 'chelad.wav', 'haagle.wav', 'dingep.wav']","['Picture6.png', 'Picture4.png', 'Picture5.png']"
