trial,item1,item2,item3,casemarker1,casemarker2,casemarker3,final,condition
1,rakken,dingep,pakrid,chelad,nellby,jeelow,rakken chelad dingep nellby pakrid jeelow,correlated
2,rakken,makkot,pakrid,chelad,nellby,jeelow,rakken chelad makkot nellby pakrid jeelow,correlated
3,barget,dingep,sumbark,chelad,nellby,jeelow,barget chelad dingep nellby sumbark jeelow,correlated
4,bimdah,haagle,pakrid,chelad,nellby,jeelow,bimdah chelad haagle nellby pakrid jeelow,correlated
5,fisslin,goorshell,haagle,chelad,nellby,jeelow,fisslin chelad goorshell nellby haagle jeelow,correlated
6,rakken,makkot,fisslin,chelad,nellby,jeelow,rakken chelad makkot nellby fisslin jeelow,correlated
7,dingep,goorshell,sumbark,chelad,nellby,jeelow,dingep chelad goorshell nellby sumbark jeelow,correlated
8,rakken,dingep,sumbark,chelad,nellby,jeelow,rakken chelad dingep nellby sumbark jeelow,correlated
9,goorshell,makkot,sumbark,chelad,nellby,jeelow,goorshell chelad makkot nellby sumbark jeelow,correlated
10,haagle,pakrid,rakken,chelad,nellby,jeelow,haagle chelad pakrid nellby rakken jeelow,correlated
11,bimdah,haagle,goorshell,chelad,nellby,jeelow,bimdah chelad haagle nellby goorshell jeelow,correlated
12,barget,fisslin,haagle,chelad,nellby,jeelow,barget chelad fisslin nellby haagle jeelow,correlated
13,sumbark,fisslin,makkot,chelad,nellby,jeelow,sumbark chelad fisslin nellby makkot jeelow,correlated
14,fisslin,haagle,bimdah,chelad,nellby,jeelow,fisslin chelad haagle nellby bimdah jeelow,correlated
15,makkot,rakken,haagle,chelad,nellby,jeelow,makkot chelad rakken nellby haagle jeelow,correlated
16,pakrid,haagle,bimdah,chelad,nellby,jeelow,pakrid chelad haagle nellby bimdah jeelow,correlated
17,barget,goorshell,makkot,chelad,nellby,jeelow,barget chelad goorshell nellby makkot jeelow,correlated
18,barget,fisslin,makkot,chelad,nellby,jeelow,barget chelad fisslin nellby makkot jeelow,correlated
19,rakken,pakrid,haagle,chelad,nellby,jeelow,rakken chelad pakrid nellby haagle jeelow,correlated
20,sumbark,haagle,rakken,chelad,nellby,jeelow,sumbark chelad haagle nellby rakken jeelow,correlated
1,rakken,dingep,pakrid,chelad,jeelow,nellby,rakken chelad dingep jeelow pakrid nellby,isolated
2,rakken,makkot,pakrid,chelad,nellby,jeelow,rakken chelad makkot nellby pakrid jeelow,isolated
3,barget,dingep,sumbark,chelad,nellby,jeelow,barget chelad dingep nellby sumbark jeelow,isolated
4,bimdah,haagle,pakrid,chelad,nellby,jeelow,bimdah chelad haagle nellby pakrid jeelow,isolated
5,fisslin,goorshell,haagle,chelad,jeelow,nellby,fisslin chelad goorshell jeelow haagle nellby,isolated
6,rakken,makkot,fisslin,chelad,nellby,jeelow,rakken chelad makkot nellby fisslin jeelow,isolated
7,dingep,goorshell,sumbark,chelad,nellby,jeelow,dingep chelad goorshell nellby sumbark jeelow,isolated
8,rakken,dingep,sumbark,chelad,jeelow,nellby,rakken chelad dingep jeelow sumbark nellby,isolated
9,goorshell,makkot,sumbark,chelad,nellby,jeelow,goorshell chelad makkot nellby sumbark jeelow,isolated
10,haagle,pakrid,rakken,chelad,jeelow,nellby,haagle chelad pakrid jeelow rakken nellby,isolated
11,bimdah,haagle,goorshell,chelad,nellby,jeelow,bimdah chelad haagle nellby goorshell jeelow,isolated
12,barget,fisslin,haagle,chelad,nellby,jeelow,barget chelad fisslin nellby haagle jeelow,isolated
13,sumbark,fisslin,makkot,chelad,nellby,jeelow,sumbark chelad fisslin nellby makkot jeelow,isolated
14,fisslin,haagle,bimdah,chelad,jeelow,nellby,fisslin chelad haagle jeelow bimdah nellby,isolated
15,makkot,rakken,haagle,chelad,nellby,jeelow,makkot chelad rakken nellby haagle jeelow,isolated
16,pakrid,haagle,bimdah,chelad,jeelow,nellby,pakrid chelad haagle jeelow bimdah nellby,isolated
17,barget,goorshell,makkot,chelad,jeelow,nellby,barget chelad goorshell jeelow makkot nellby,isolated
18,barget,fisslin,makkot,chelad,jeelow,nellby,barget chelad fisslin jeelow makkot nellby,isolated
19,rakken,pakrid,haagle,chelad,jeelow,nellby,rakken chelad pakrid jeelow haagle nellby,isolated
20,sumbark,haagle,rakken,chelad,jeelow,nellby,sumbark chelad haagle jeelow rakken nellby,isolated
