trial,item1,item2,item3,casemarker1,casemarker2,casemarker3,final,condition
1,rakken,dingep,pakrid,limeber,jeelow,nellby,rakken limeber dingep jeelow pakrid nellby,correlated
2,rakken,makkot,pakrid,limeber,jeelow,nellby,rakken limeber makkot jeelow pakrid nellby,correlated
3,barget,dingep,sumbark,limeber,jeelow,nellby,barget limeber dingep jeelow sumbark nellby,correlated
4,bimdah,haagle,pakrid,limeber,jeelow,nellby,bimdah limeber haagle jeelow pakrid nellby,correlated
5,fisslin,goorshell,haagle,limeber,jeelow,nellby,fisslin limeber goorshell jeelow haagle nellby,correlated
6,rakken,makkot,fisslin,limeber,jeelow,nellby,rakken limeber makkot jeelow fisslin nellby,correlated
7,dingep,goorshell,sumbark,limeber,jeelow,nellby,dingep limeber goorshell jeelow sumbark nellby,correlated
8,rakken,dingep,sumbark,limeber,jeelow,nellby,rakken limeber dingep jeelow sumbark nellby,correlated
9,goorshell,makkot,sumbark,limeber,jeelow,nellby,goorshell limeber makkot jeelow sumbark nellby,correlated
10,haagle,pakrid,rakken,limeber,jeelow,nellby,haagle limeber pakrid jeelow rakken nellby,correlated
11,bimdah,haagle,goorshell,limeber,jeelow,nellby,bimdah limeber haagle jeelow goorshell nellby,correlated
12,barget,fisslin,haagle,limeber,jeelow,nellby,barget limeber fisslin jeelow haagle nellby,correlated
13,sumbark,fisslin,makkot,limeber,jeelow,nellby,sumbark limeber fisslin jeelow makkot nellby,correlated
14,fisslin,haagle,bimdah,limeber,jeelow,nellby,fisslin limeber haagle jeelow bimdah nellby,correlated
15,makkot,rakken,haagle,limeber,jeelow,nellby,makkot limeber rakken jeelow haagle nellby,correlated
16,pakrid,haagle,bimdah,limeber,jeelow,nellby,pakrid limeber haagle jeelow bimdah nellby,correlated
17,barget,goorshell,makkot,limeber,jeelow,nellby,barget limeber goorshell jeelow makkot nellby,correlated
18,barget,fisslin,makkot,limeber,jeelow,nellby,barget limeber fisslin jeelow makkot nellby,correlated
19,rakken,pakrid,haagle,limeber,jeelow,nellby,rakken limeber pakrid jeelow haagle nellby,correlated
20,sumbark,haagle,rakken,limeber,jeelow,nellby,sumbark limeber haagle jeelow rakken nellby,correlated
1,rakken,dingep,pakrid,limeber,nellby,jeelow,rakken limeber dingep nellby pakrid jeelow,isolated-left
2,rakken,makkot,pakrid,limeber,jeelow,nellby,rakken limeber makkot jeelow pakrid nellby,isolated-left
3,barget,dingep,sumbark,limeber,jeelow,nellby,barget limeber dingep jeelow sumbark nellby,isolated-left
