trial,item1,item2,item3,casemarker1,casemarker2,casemarker3,final,condition
1,rakken,dingep,pakrid,nellby,limeber,jeelow,rakken nellby dingep limeber pakrid jeelow,correlated
2,rakken,makkot,pakrid,nellby,limeber,jeelow,rakken nellby makkot limeber pakrid jeelow,correlated
3,barget,dingep,sumbark,nellby,limeber,jeelow,barget nellby dingep limeber sumbark jeelow,correlated
4,bimdah,haagle,pakrid,nellby,limeber,jeelow,bimdah nellby haagle limeber pakrid jeelow,correlated
5,fisslin,goorshell,haagle,nellby,limeber,jeelow,fisslin nellby goorshell limeber haagle jeelow,correlated
6,rakken,makkot,fisslin,nellby,limeber,jeelow,rakken nellby makkot limeber fisslin jeelow,correlated
7,dingep,goorshell,sumbark,nellby,limeber,jeelow,dingep nellby goorshell limeber sumbark jeelow,correlated
8,rakken,dingep,sumbark,nellby,limeber,jeelow,rakken nellby dingep limeber sumbark jeelow,correlated
9,goorshell,makkot,sumbark,nellby,limeber,jeelow,goorshell nellby makkot limeber sumbark jeelow,correlated
10,haagle,pakrid,rakken,nellby,limeber,jeelow,haagle nellby pakrid limeber rakken jeelow,correlated
11,bimdah,haagle,goorshell,nellby,limeber,jeelow,bimdah nellby haagle limeber goorshell jeelow,correlated
12,barget,fisslin,haagle,nellby,limeber,jeelow,barget nellby fisslin limeber haagle jeelow,correlated
13,sumbark,fisslin,makkot,nellby,limeber,jeelow,sumbark nellby fisslin limeber makkot jeelow,correlated
14,fisslin,haagle,bimdah,nellby,limeber,jeelow,fisslin nellby haagle limeber bimdah jeelow,correlated
15,makkot,rakken,haagle,nellby,limeber,jeelow,makkot nellby rakken limeber haagle jeelow,correlated
16,pakrid,haagle,bimdah,nellby,limeber,jeelow,pakrid nellby haagle limeber bimdah jeelow,correlated
17,barget,goorshell,makkot,nellby,limeber,jeelow,barget nellby goorshell limeber makkot jeelow,correlated
18,barget,fisslin,makkot,nellby,limeber,jeelow,barget nellby fisslin limeber makkot jeelow,correlated
19,rakken,pakrid,haagle,nellby,limeber,jeelow,rakken nellby pakrid limeber haagle jeelow,correlated
20,sumbark,haagle,rakken,nellby,limeber,jeelow,sumbark nellby haagle limeber rakken jeelow,correlated
1,rakken,dingep,pakrid,nellby,limeber,jeelow,rakken nellby dingep limeber pakrid jeelow,isolated
2,rakken,makkot,pakrid,nellby,limeber,jeelow,rakken nellby makkot limeber pakrid jeelow,isolated
3,barget,dingep,sumbark,nellby,limeber,jeelow,barget nellby dingep limeber sumbark jeelow,isolated
4,bimdah,haagle,pakrid,nellby,limeber,jeelow,bimdah nellby haagle limeber pakrid jeelow,isolated
5,fisslin,goorshell,haagle,nellby,limeber,jeelow,fisslin nellby goorshell limeber haagle jeelow,isolated
6,rakken,makkot,fisslin,nellby,limeber,jeelow,rakken nellby makkot limeber fisslin jeelow,isolated
7,dingep,goorshell,sumbark,nellby,limeber,jeelow,dingep nellby goorshell limeber sumbark jeelow,isolated
8,rakken,dingep,sumbark,nellby,limeber,jeelow,rakken nellby dingep limeber sumbark jeelow,isolated
9,goorshell,makkot,sumbark,nellby,limeber,jeelow,goorshell nellby makkot limeber sumbark jeelow,isolated
10,haagle,pakrid,rakken,nellby,limeber,jeelow,haagle nellby pakrid limeber rakken jeelow,isolated
11,bimdah,haagle,goorshell,nellby,limeber,jeelow,bimdah nellby haagle limeber goorshell jeelow,isolated
12,barget,fisslin,haagle,nellby,limeber,jeelow,barget nellby fisslin limeber haagle jeelow,isolated
13,sumbark,fisslin,makkot,nellby,limeber,jeelow,sumbark nellby fisslin limeber makkot jeelow,isolated
14,fisslin,haagle,bimdah,nellby,limeber,jeelow,fisslin nellby haagle limeber bimdah jeelow,isolated
15,makkot,rakken,haagle,nellby,limeber,jeelow,makkot nellby rakken limeber haagle jeelow,isolated
16,pakrid,haagle,bimdah,nellby,limeber,jeelow,pakrid nellby haagle limeber bimdah jeelow,isolated
17,barget,goorshell,makkot,nellby,limeber,jeelow,barget nellby goorshell limeber makkot jeelow,isolated
18,barget,fisslin,makkot,nellby,limeber,jeelow,barget nellby fisslin limeber makkot jeelow,isolated
19,rakken,pakrid,haagle,nellby,limeber,jeelow,rakken nellby pakrid limeber haagle jeelow,isolated
20,sumbark,haagle,rakken,nellby,limeber,jeelow,sumbark nellby haagle limeber rakken jeelow,isolated
