trial,item1,item2,item3,casemarker1,casemarker2,casemarker3,final,condition
1,rakken,dingep,pakrid,chelad,jeelow,nellby,rakken chelad dingep jeelow pakrid nellby,correlated
2,rakken,makkot,pakrid,chelad,jeelow,nellby,rakken chelad makkot jeelow pakrid nellby,correlated
3,barget,dingep,sumbark,chelad,jeelow,nellby,barget chelad dingep jeelow sumbark nellby,correlated
4,bimdah,haagle,pakrid,chelad,jeelow,nellby,bimdah chelad haagle jeelow pakrid nellby,correlated
5,fisslin,goorshell,haagle,chelad,jeelow,nellby,fisslin chelad goorshell jeelow haagle nellby,correlated
6,rakken,makkot,fisslin,chelad,jeelow,nellby,rakken chelad makkot jeelow fisslin nellby,correlated
7,dingep,goorshell,sumbark,chelad,jeelow,nellby,dingep chelad goorshell jeelow sumbark nellby,correlated
8,rakken,dingep,sumbark,chelad,jeelow,nellby,rakken chelad dingep jeelow sumbark nellby,correlated
9,goorshell,makkot,sumbark,chelad,jeelow,nellby,goorshell chelad makkot jeelow sumbark nellby,correlated
10,haagle,pakrid,rakken,chelad,jeelow,nellby,haagle chelad pakrid jeelow rakken nellby,correlated
11,bimdah,haagle,goorshell,chelad,jeelow,nellby,bimdah chelad haagle jeelow goorshell nellby,correlated
12,barget,fisslin,haagle,chelad,jeelow,nellby,barget chelad fisslin jeelow haagle nellby,correlated
13,sumbark,fisslin,makkot,chelad,jeelow,nellby,sumbark chelad fisslin jeelow makkot nellby,correlated
14,fisslin,haagle,bimdah,chelad,jeelow,nellby,fisslin chelad haagle jeelow bimdah nellby,correlated
15,makkot,rakken,haagle,chelad,jeelow,nellby,makkot chelad rakken jeelow haagle nellby,correlated
16,pakrid,haagle,bimdah,chelad,jeelow,nellby,pakrid chelad haagle jeelow bimdah nellby,correlated
17,barget,goorshell,makkot,chelad,jeelow,nellby,barget chelad goorshell jeelow makkot nellby,correlated
18,barget,fisslin,makkot,chelad,jeelow,nellby,barget chelad fisslin jeelow makkot nellby,correlated
19,rakken,pakrid,haagle,chelad,jeelow,nellby,rakken chelad pakrid jeelow haagle nellby,correlated
20,sumbark,haagle,rakken,chelad,jeelow,nellby,sumbark chelad haagle jeelow rakken nellby,correlated
1,rakken,dingep,pakrid,chelad,nellby,jeelow,rakken chelad dingep nellby pakrid jeelow,isolated-left
2,rakken,makkot,pakrid,chelad,jeelow,nellby,rakken chelad makkot jeelow pakrid nellby,isolated-left
3,barget,dingep,sumbark,chelad,jeelow,nellby,barget chelad dingep jeelow sumbark nellby,isolated-left
4,bimdah,haagle,pakrid,chelad,jeelow,nellby,bimdah chelad haagle jeelow pakrid nellby,isolated-left
5,fisslin,goorshell,haagle,chelad,jeelow,nellby,fisslin chelad goorshell jeelow haagle nellby,isolated-left
6,rakken,makkot,fisslin,chelad,jeelow,nellby,rakken chelad makkot jeelow fisslin nellby,isolated-left
7,dingep,goorshell,sumbark,chelad,nellby,jeelow,dingep chelad goorshell nellby sumbark jeelow,isolated-left
8,rakken,dingep,sumbark,chelad,jeelow,nellby,rakken chelad dingep jeelow sumbark nellby,isolated-left
9,goorshell,makkot,sumbark,chelad,nellby,jeelow,goorshell chelad makkot nellby sumbark jeelow,isolated-left
10,haagle,pakrid,rakken,chelad,jeelow,nellby,haagle chelad pakrid jeelow rakken nellby,isolated-left
11,bimdah,haagle,goorshell,chelad,nellby,jeelow,bimdah chelad haagle nellby goorshell jeelow,isolated-left
12,barget,fisslin,haagle,chelad,jeelow,nellby,barget chelad fisslin jeelow haagle nellby,isolated-left
13,sumbark,fisslin,makkot,chelad,nellby,jeelow,sumbark chelad fisslin nellby makkot jeelow,isolated-left
14,fisslin,haagle,bimdah,chelad,jeelow,nellby,fisslin chelad haagle jeelow bimdah nellby,isolated-left
15,makkot,rakken,haagle,chelad,jeelow,nellby,makkot chelad rakken jeelow haagle nellby,isolated-left
16,pakrid,haagle,bimdah,chelad,nellby,jeelow,pakrid chelad haagle nellby bimdah jeelow,isolated-left
17,barget,goorshell,makkot,chelad,nellby,jeelow,barget chelad goorshell nellby makkot jeelow,isolated-left
18,barget,fisslin,makkot,chelad,nellby,jeelow,barget chelad fisslin nellby makkot jeelow,isolated-left
19,rakken,pakrid,haagle,chelad,nellby,jeelow,rakken chelad pakrid nellby haagle jeelow,isolated-left
20,sumbark,haagle,rakken,chelad,nellby,jeelow,sumbark chelad haagle nellby rakken jeelow,isolated-left
1,rakken,dingep,pakrid,nellby,jeelow,chelad,rakken nellby dingep jeelow pakrid chelad,isolated-center
2,rakken,makkot,pakrid,chelad,jeelow,nellby,rakken chelad makkot jeelow pakrid nellby,isolated-center
3,barget,dingep,sumbark,nellby,jeelow,chelad,barget nellby dingep jeelow sumbark chelad,isolated-center
4,bimdah,haagle,pakrid,chelad,jeelow,nellby,bimdah chelad haagle jeelow pakrid nellby,isolated-center
5,fisslin,goorshell,haagle,chelad,jeelow,nellby,fisslin chelad goorshell jeelow haagle nellby,isolated-center
6,rakken,makkot,fisslin,nellby,jeelow,chelad,rakken nellby makkot jeelow fisslin chelad,isolated-center
7,dingep,goorshell,sumbark,chelad,jeelow,nellby,dingep chelad goorshell jeelow sumbark nellby,isolated-center
8,rakken,dingep,sumbark,chelad,jeelow,nellby,rakken chelad dingep jeelow sumbark nellby,isolated-center
9,goorshell,makkot,sumbark,nellby,jeelow,chelad,goorshell nellby makkot jeelow sumbark chelad,isolated-center
10,haagle,pakrid,rakken,chelad,jeelow,nellby,haagle chelad pakrid jeelow rakken nellby,isolated-center
11,bimdah,haagle,goorshell,nellby,jeelow,chelad,bimdah nellby haagle jeelow goorshell chelad,isolated-center
12,barget,fisslin,haagle,chelad,jeelow,nellby,barget chelad fisslin jeelow haagle nellby,isolated-center
13,sumbark,fisslin,makkot,chelad,jeelow,nellby,sumbark chelad fisslin jeelow makkot nellby,isolated-center
14,fisslin,haagle,bimdah,nellby,jeelow,chelad,fisslin nellby haagle jeelow bimdah chelad,isolated-center
15,makkot,rakken,haagle,chelad,jeelow,nellby,makkot chelad rakken jeelow haagle nellby,isolated-center
16,pakrid,haagle,bimdah,nellby,jeelow,chelad,pakrid nellby haagle jeelow bimdah chelad,isolated-center
17,barget,goorshell,makkot,nellby,jeelow,chelad,barget nellby goorshell jeelow makkot chelad,isolated-center
18,barget,fisslin,makkot,nellby,jeelow,chelad,barget nellby fisslin jeelow makkot chelad,isolated-center
19,rakken,pakrid,haagle,chelad,jeelow,nellby,rakken chelad pakrid jeelow haagle nellby,isolated-center
20,sumbark,haagle,rakken,nellby,jeelow,chelad,sumbark nellby haagle jeelow rakken chelad,isolated-center
1,rakken,dingep,pakrid,chelad,jeelow,nellby,rakken chelad dingep jeelow pakrid nellby,isolated-right
2,rakken,makkot,pakrid,jeelow,chelad,nellby,rakken jeelow makkot chelad pakrid nellby,isolated-right
3,barget,dingep,sumbark,jeelow,chelad,nellby,barget jeelow dingep chelad sumbark nellby,isolated-right
