,block,trial,audio,S1,S2,S3
0,1,1,Audio/ti zu bi bo bi,Picture1.png, Picture2.png, Picture2.png
1,1,2,Audio/ti bo ti,Picture1.png, Picture1.png,-
2,1,3,Audio/ti bo bi,Picture1.png, Picture2.png,-
3,1,4,Audio/ti zu bi bo ti,Picture1.png, Picture2.png, Picture1.png
4,2,1,Audio/ti zu bi bo ti,Picture1.png, Picture2.png, Picture1.png
5,2,2,Audio/ti zu bi bo bi,Picture1.png, Picture2.png, Picture2.png
6,2,3,Audio/ti bo ti,Picture1.png, Picture1.png,-
7,2,4,Audio/ti bo bi,Picture1.png, Picture2.png,-
8,3,1,Audio/ti zu bi bo ti,Picture1.png, Picture2.png, Picture1.png
9,3,2,Audio/ti bo bi,Picture1.png, Picture2.png,-
10,3,3,Audio/ti zu bi bo bi,Picture1.png, Picture2.png, Picture2.png
11,3,4,Audio/ti bo ti,Picture1.png, Picture1.png,-
12,4,1,Audio/ti zu bi bo bi,Picture1.png, Picture2.png, Picture2.png
13,4,2,Audio/ti zu bi bo ti,Picture1.png, Picture2.png, Picture1.png
14,4,3,Audio/ti bo bi,Picture1.png, Picture2.png,-
15,4,4,Audio/ti bo ti,Picture1.png, Picture1.png,-
