trial,item1,item2,item3,casemarker1,casemarker2,casemarker3,final,condition,audio_sequence,image_sequence
1,rakken,dingep,pakrid,chelad,limeber,jeelow,rakken chelad dingep limeber pakrid jeelow,correlated,"['rakken.wav', 'chelad.wav', 'dingep.wav', 'limeber.wav', 'pakrid.wav', 'jeelow.wav']","['Picture2.png', 'Picture6.png', 'Picture3.png']"
2,rakken,makkot,pakrid,chelad,limeber,jeelow,rakken chelad makkot limeber pakrid jeelow,correlated,"['rakken.wav', 'chelad.wav', 'makkot.wav', 'limeber.wav', 'pakrid.wav', 'jeelow.wav']","['Picture2.png', 'Picture4.png', 'Picture3.png']"
3,barget,dingep,sumbark,chelad,limeber,jeelow,barget chelad dingep limeber sumbark jeelow,correlated,"['barget.wav', 'chelad.wav', 'dingep.wav', 'limeber.wav', 'sumbark.wav', 'jeelow.wav']","['Picture8.png', 'Picture6.png', 'Picture7.png']"
4,bimdah,haagle,pakrid,chelad,limeber,jeelow,bimdah chelad haagle limeber pakrid jeelow,correlated,"['bimdah.wav', 'chelad.wav', 'haagle.wav', 'limeber.wav', 'pakrid.wav', 'jeelow.wav']","['Picture10.png', 'Picture1.png', 'Picture3.png']"
5,fisslin,goorshell,haagle,chelad,limeber,jeelow,fisslin chelad goorshell limeber haagle jeelow,correlated,"['fisslin.wav', 'chelad.wav', 'goorshell.wav', 'limeber.wav', 'haagle.wav', 'jeelow.wav']","['Picture9.png', 'Picture5.png', 'Picture1.png']"
6,rakken,makkot,fisslin,chelad,limeber,jeelow,rakken chelad makkot limeber fisslin jeelow,correlated,"['rakken.wav', 'chelad.wav', 'makkot.wav', 'limeber.wav', 'fisslin.wav', 'jeelow.wav']","['Picture2.png', 'Picture4.png', 'Picture9.png']"
7,dingep,goorshell,sumbark,chelad,limeber,jeelow,dingep chelad goorshell limeber sumbark jeelow,correlated,"['dingep.wav', 'chelad.wav', 'goorshell.wav', 'limeber.wav', 'sumbark.wav', 'jeelow.wav']","['Picture6.png', 'Picture5.png', 'Picture7.png']"
8,rakken,dingep,sumbark,chelad,limeber,jeelow,rakken chelad dingep limeber sumbark jeelow,correlated,"['rakken.wav', 'chelad.wav', 'dingep.wav', 'limeber.wav', 'sumbark.wav', 'jeelow.wav']","['Picture2.png', 'Picture6.png', 'Picture7.png']"
9,goorshell,makkot,sumbark,chelad,limeber,jeelow,goorshell chelad makkot limeber sumbark jeelow,correlated,"['goorshell.wav', 'chelad.wav', 'makkot.wav', 'limeber.wav', 'sumbark.wav', 'jeelow.wav']","['Picture5.png', 'Picture4.png', 'Picture7.png']"
10,haagle,pakrid,rakken,chelad,limeber,jeelow,haagle chelad pakrid limeber rakken jeelow,correlated,"['haagle.wav', 'chelad.wav', 'pakrid.wav', 'limeber.wav', 'rakken.wav', 'jeelow.wav']","['Picture1.png', 'Picture3.png', 'Picture2.png']"
